source,target,attributes
Q_212,ICA_75,{'type': 'MATCHES'}
Q_212,CRPC_154,{'type': 'MATCHES'}
Q_212,CRPC_156,{'type': 'MATCHES'}
Q_212,CRPC_200,{'type': 'MATCHES'}
Q_212,CRPC_210,{'type': 'MATCHES'}
Q_212,CRPC_302,{'type': 'MATCHES'}
Q_212,CRPC_482,{'type': 'MATCHES'}
Q_212,CPC_24,{'type': 'MATCHES'}
Q_212,IPC_320,{'type': 'MATCHES'}
Q_212,IPC_323,{'type': 'MATCHES'}
Q_212,IPC_324,{'type': 'MATCHES'}
Q_212,IPC_325,{'type': 'MATCHES'}
Q_212,IPC_326,{'type': 'MATCHES'}
Q_212,IPC_337,{'type': 'MATCHES'}
Q_212,IPC_338,{'type': 'MATCHES'}
Q_212,IPC_350,{'type': 'MATCHES'}
Q_212,IPC_302,{'type': 'MATCHES'}
Q_212,IPC_307,{'type': 'MATCHES'}
Q_212,IPC_308,{'type': 'MATCHES'}
Q_212,IPC_309,{'type': 'MATCHES'}
Q_213,stalking,{'type': 'RELATES_TO'}
Q_213,IPC_354D,{'type': 'MATCHES'}
Q_215,fir,{'type': 'RELATES_TO'}
Q_215,corruption,{'type': 'RELATES_TO'}
Q_215,CRPC_154,{'type': 'MATCHES'}
Q_215,CRPC_156,{'type': 'MATCHES'}
Q_215,CRPC_200,{'type': 'MATCHES'}
Q_215,CRPC_210,{'type': 'MATCHES'}
Q_215,CRPC_302,{'type': 'MATCHES'}
Q_215,CRPC_482,{'type': 'MATCHES'}
Q_215,CPC_24,{'type': 'MATCHES'}
Q_215,IPC_409,{'type': 'MATCHES'}
Q_215,PCA_7,{'type': 'MATCHES'}
Q_215,PCA_13,{'type': 'MATCHES'}
Q_216,arrest,{'type': 'RELATES_TO'}
Q_216,CRPC_41,{'type': 'MATCHES'}
Q_216,CRPC_73,{'type': 'MATCHES'}
Q_216,CRPC_160,{'type': 'MATCHES'}
Q_216,CRPC_167,{'type': 'MATCHES'}
Q_216,IEA_27,{'type': 'MATCHES'}
Q_217,fir,{'type': 'RELATES_TO'}
Q_217,CRPC_154,{'type': 'MATCHES'}
Q_217,CRPC_156,{'type': 'MATCHES'}
Q_217,CRPC_200,{'type': 'MATCHES'}
Q_217,CRPC_210,{'type': 'MATCHES'}
Q_217,CRPC_302,{'type': 'MATCHES'}
Q_217,CRPC_482,{'type': 'MATCHES'}
Q_217,CPC_24,{'type': 'MATCHES'}
Q_218,fir,{'type': 'RELATES_TO'}
Q_218,cheating,{'type': 'RELATES_TO'}
Q_218,CRPC_154,{'type': 'MATCHES'}
Q_218,CRPC_156,{'type': 'MATCHES'}
Q_218,CRPC_200,{'type': 'MATCHES'}
Q_218,CRPC_210,{'type': 'MATCHES'}
Q_218,CRPC_302,{'type': 'MATCHES'}
Q_218,CRPC_482,{'type': 'MATCHES'}
Q_218,CPC_24,{'type': 'MATCHES'}
Q_218,IPC_415,{'type': 'MATCHES'}
Q_218,IPC_417,{'type': 'MATCHES'}
Q_218,IPC_419,{'type': 'MATCHES'}
Q_218,IPC_420,{'type': 'MATCHES'}
Q_218,CRPC_320,{'type': 'MATCHES'}
Q_218,ICA_73,{'type': 'MATCHES'}
Q_218,ICA_74,{'type': 'MATCHES'}
Q_218,ICA_75,{'type': 'MATCHES'}
Q_219,public_nuisance,{'type': 'RELATES_TO'}
Q_219,IPC_268,{'type': 'MATCHES'}
Q_219,IPC_290,{'type': 'MATCHES'}
Q_219,CRPC_107,{'type': 'MATCHES'}
Q_219,CRPC_116,{'type': 'MATCHES'}
Q_219,CRPC_133,{'type': 'MATCHES'}
Q_219,CRPC_144,{'type': 'MATCHES'}
Q_220,fir,{'type': 'RELATES_TO'}
Q_220,cheating,{'type': 'RELATES_TO'}
Q_220,CRPC_154,{'type': 'MATCHES'}
Q_220,CRPC_156,{'type': 'MATCHES'}
Q_220,CRPC_200,{'type': 'MATCHES'}
Q_220,CRPC_210,{'type': 'MATCHES'}
Q_220,CRPC_302,{'type': 'MATCHES'}
Q_220,CRPC_482,{'type': 'MATCHES'}
Q_220,CPC_24,{'type': 'MATCHES'}
Q_220,IPC_415,{'type': 'MATCHES'}
Q_220,IPC_417,{'type': 'MATCHES'}
Q_220,IPC_419,{'type': 'MATCHES'}
Q_220,IPC_420,{'type': 'MATCHES'}
Q_220,CRPC_320,{'type': 'MATCHES'}
Q_220,ICA_73,{'type': 'MATCHES'}
Q_220,ICA_74,{'type': 'MATCHES'}
Q_220,ICA_75,{'type': 'MATCHES'}
Q_221,fir,{'type': 'RELATES_TO'}
Q_221,CRPC_154,{'type': 'MATCHES'}
Q_221,CRPC_156,{'type': 'MATCHES'}
Q_221,CRPC_200,{'type': 'MATCHES'}
Q_221,CRPC_210,{'type': 'MATCHES'}
Q_221,CRPC_302,{'type': 'MATCHES'}
Q_221,CRPC_482,{'type': 'MATCHES'}
Q_221,CPC_24,{'type': 'MATCHES'}
Q_222,corruption,{'type': 'RELATES_TO'}
Q_222,IPC_409,{'type': 'MATCHES'}
Q_222,PCA_7,{'type': 'MATCHES'}
Q_222,PCA_13,{'type': 'MATCHES'}
Q_223,kidnapping,{'type': 'RELATES_TO'}
Q_223,anticipatory_bail,{'type': 'RELATES_TO'}
Q_223,IPC_363,{'type': 'MATCHES'}
Q_223,IPC_364,{'type': 'MATCHES'}
Q_223,CRPC_438,{'type': 'MATCHES'}
Q_224,fir,{'type': 'RELATES_TO'}
Q_224,CRPC_154,{'type': 'MATCHES'}
Q_224,CRPC_156,{'type': 'MATCHES'}
Q_224,CRPC_200,{'type': 'MATCHES'}
Q_224,CRPC_210,{'type': 'MATCHES'}
Q_224,CRPC_302,{'type': 'MATCHES'}
Q_224,CRPC_482,{'type': 'MATCHES'}
Q_224,CPC_24,{'type': 'MATCHES'}
Q_226,fir,{'type': 'RELATES_TO'}
Q_226,anticipatory_bail,{'type': 'RELATES_TO'}
Q_226,CRPC_154,{'type': 'MATCHES'}
Q_226,CRPC_156,{'type': 'MATCHES'}
Q_226,CRPC_200,{'type': 'MATCHES'}
Q_226,CRPC_210,{'type': 'MATCHES'}
Q_226,CRPC_302,{'type': 'MATCHES'}
Q_226,CRPC_482,{'type': 'MATCHES'}
Q_226,CPC_24,{'type': 'MATCHES'}
Q_226,CRPC_438,{'type': 'MATCHES'}
Q_227,fir,{'type': 'RELATES_TO'}
Q_227,cheating,{'type': 'RELATES_TO'}
Q_227,criminal_breach_of_trust,{'type': 'RELATES_TO'}
Q_227,theft,{'type': 'RELATES_TO'}
Q_227,CRPC_154,{'type': 'MATCHES'}
Q_227,CRPC_156,{'type': 'MATCHES'}
Q_227,CRPC_200,{'type': 'MATCHES'}
Q_227,CRPC_210,{'type': 'MATCHES'}
Q_227,CRPC_302,{'type': 'MATCHES'}
Q_227,CRPC_482,{'type': 'MATCHES'}
Q_227,CPC_24,{'type': 'MATCHES'}
Q_227,IPC_415,{'type': 'MATCHES'}
Q_227,IPC_417,{'type': 'MATCHES'}
Q_227,IPC_419,{'type': 'MATCHES'}
Q_227,IPC_420,{'type': 'MATCHES'}
Q_227,CRPC_320,{'type': 'MATCHES'}
Q_227,ICA_73,{'type': 'MATCHES'}
Q_227,ICA_74,{'type': 'MATCHES'}
Q_227,ICA_75,{'type': 'MATCHES'}
Q_227,IPC_406,{'type': 'MATCHES'}
Q_227,IPC_409,{'type': 'MATCHES'}
Q_227,IPC_378,{'type': 'MATCHES'}
Q_227,IPC_379,{'type': 'MATCHES'}
Q_227,IPC_411,{'type': 'MATCHES'}
Q_227,CRPC_451,{'type': 'MATCHES'}
Q_227,CRPC_457,{'type': 'MATCHES'}
Q_228,charge_sheet,{'type': 'RELATES_TO'}
Q_228,fir,{'type': 'RELATES_TO'}
Q_228,CRPC_173,{'type': 'MATCHES'}
Q_228,CRPC_205,{'type': 'MATCHES'}
Q_228,CRPC_210,{'type': 'MATCHES'}
Q_228,CRPC_216,{'type': 'MATCHES'}
Q_228,CRPC_227,{'type': 'MATCHES'}
Q_228,CRPC_239,{'type': 'MATCHES'}
Q_228,CRPC_317,{'type': 'MATCHES'}
Q_228,CRPC_154,{'type': 'MATCHES'}
Q_228,CRPC_156,{'type': 'MATCHES'}
Q_228,CRPC_200,{'type': 'MATCHES'}
Q_228,CRPC_302,{'type': 'MATCHES'}
Q_228,CRPC_482,{'type': 'MATCHES'}
Q_228,CPC_24,{'type': 'MATCHES'}
Q_229,fir,{'type': 'RELATES_TO'}
Q_229,assault,{'type': 'RELATES_TO'}
Q_229,CRPC_154,{'type': 'MATCHES'}
Q_229,CRPC_156,{'type': 'MATCHES'}
Q_229,CRPC_200,{'type': 'MATCHES'}
Q_229,CRPC_210,{'type': 'MATCHES'}
Q_229,CRPC_302,{'type': 'MATCHES'}
Q_229,CRPC_482,{'type': 'MATCHES'}
Q_229,CPC_24,{'type': 'MATCHES'}
Q_229,IPC_320,{'type': 'MATCHES'}
Q_229,IPC_323,{'type': 'MATCHES'}
Q_229,IPC_324,{'type': 'MATCHES'}
Q_229,IPC_325,{'type': 'MATCHES'}
Q_229,IPC_326,{'type': 'MATCHES'}
Q_229,IPC_337,{'type': 'MATCHES'}
Q_229,IPC_338,{'type': 'MATCHES'}
Q_229,IPC_350,{'type': 'MATCHES'}
Q_229,CRPC_320,{'type': 'MATCHES'}
Q_230,bail,{'type': 'RELATES_TO'}
Q_230,CRPC_167,{'type': 'MATCHES'}
Q_230,CRPC_397,{'type': 'MATCHES'}
Q_230,CRPC_439,{'type': 'MATCHES'}
Q_230,CRPC_482,{'type': 'MATCHES'}
Q_233,fir,{'type': 'RELATES_TO'}
Q_233,charge_sheet,{'type': 'RELATES_TO'}
Q_233,CRPC_154,{'type': 'MATCHES'}
Q_233,CRPC_156,{'type': 'MATCHES'}
Q_233,CRPC_200,{'type': 'MATCHES'}
Q_233,CRPC_210,{'type': 'MATCHES'}
Q_233,CRPC_302,{'type': 'MATCHES'}
Q_233,CRPC_482,{'type': 'MATCHES'}
Q_233,CPC_24,{'type': 'MATCHES'}
Q_233,CRPC_173,{'type': 'MATCHES'}
Q_233,CRPC_205,{'type': 'MATCHES'}
Q_233,CRPC_216,{'type': 'MATCHES'}
Q_233,CRPC_227,{'type': 'MATCHES'}
Q_233,CRPC_239,{'type': 'MATCHES'}
Q_233,CRPC_317,{'type': 'MATCHES'}
Q_234,charge_sheet,{'type': 'RELATES_TO'}
Q_234,fir,{'type': 'RELATES_TO'}
Q_234,murder,{'type': 'RELATES_TO'}
Q_234,rape,{'type': 'RELATES_TO'}
Q_234,CRPC_173,{'type': 'MATCHES'}
Q_234,CRPC_205,{'type': 'MATCHES'}
Q_234,CRPC_210,{'type': 'MATCHES'}
Q_234,CRPC_216,{'type': 'MATCHES'}
Q_234,CRPC_227,{'type': 'MATCHES'}
Q_234,CRPC_239,{'type': 'MATCHES'}
Q_234,CRPC_317,{'type': 'MATCHES'}
Q_234,CRPC_154,{'type': 'MATCHES'}
Q_234,CRPC_156,{'type': 'MATCHES'}
Q_234,CRPC_200,{'type': 'MATCHES'}
Q_234,CRPC_302,{'type': 'MATCHES'}
Q_234,CRPC_482,{'type': 'MATCHES'}
Q_234,CPC_24,{'type': 'MATCHES'}
Q_234,IPC_302,{'type': 'MATCHES'}
Q_234,IPC_307,{'type': 'MATCHES'}
Q_234,IPC_308,{'type': 'MATCHES'}
Q_234,IPC_309,{'type': 'MATCHES'}
Q_234,IPC_375,{'type': 'MATCHES'}
Q_234,IPC_376,{'type': 'MATCHES'}
Q_234,IEA_45,{'type': 'MATCHES'}
Q_235,fir,{'type': 'RELATES_TO'}
Q_235,CRPC_154,{'type': 'MATCHES'}
Q_235,CRPC_156,{'type': 'MATCHES'}
Q_235,CRPC_200,{'type': 'MATCHES'}
Q_235,CRPC_210,{'type': 'MATCHES'}
Q_235,CRPC_302,{'type': 'MATCHES'}
Q_235,CRPC_482,{'type': 'MATCHES'}
Q_235,CPC_24,{'type': 'MATCHES'}
Q_239,sc_st_atrocity,{'type': 'RELATES_TO'}
Q_239,SCST_3,{'type': 'MATCHES'}
Q_239,SCST_7,{'type': 'MATCHES'}
Q_240,abetment,{'type': 'RELATES_TO'}
Q_240,IPC_107,{'type': 'MATCHES'}
Q_241,charge_sheet,{'type': 'RELATES_TO'}
Q_241,bail,{'type': 'RELATES_TO'}
Q_241,arrest,{'type': 'RELATES_TO'}
Q_241,CRPC_173,{'type': 'MATCHES'}
Q_241,CRPC_205,{'type': 'MATCHES'}
Q_241,CRPC_210,{'type': 'MATCHES'}
Q_241,CRPC_216,{'type': 'MATCHES'}
Q_241,CRPC_227,{'type': 'MATCHES'}
Q_241,CRPC_239,{'type': 'MATCHES'}
Q_241,CRPC_317,{'type': 'MATCHES'}
Q_241,CRPC_167,{'type': 'MATCHES'}
Q_241,CRPC_397,{'type': 'MATCHES'}
Q_241,CRPC_439,{'type': 'MATCHES'}
Q_241,CRPC_482,{'type': 'MATCHES'}
Q_241,CRPC_41,{'type': 'MATCHES'}
Q_241,CRPC_73,{'type': 'MATCHES'}
Q_241,CRPC_160,{'type': 'MATCHES'}
Q_241,IEA_27,{'type': 'MATCHES'}
Q_243,fir,{'type': 'RELATES_TO'}
Q_243,defamation,{'type': 'RELATES_TO'}
Q_243,CRPC_154,{'type': 'MATCHES'}
Q_243,CRPC_156,{'type': 'MATCHES'}
Q_243,CRPC_200,{'type': 'MATCHES'}
Q_243,CRPC_210,{'type': 'MATCHES'}
Q_243,CRPC_302,{'type': 'MATCHES'}
Q_243,CRPC_482,{'type': 'MATCHES'}
Q_243,CPC_24,{'type': 'MATCHES'}
Q_243,IPC_499,{'type': 'MATCHES'}
Q_243,IPC_500,{'type': 'MATCHES'}
Q_244,arrest,{'type': 'RELATES_TO'}
Q_244,CRPC_41,{'type': 'MATCHES'}
Q_244,CRPC_73,{'type': 'MATCHES'}
Q_244,CRPC_160,{'type': 'MATCHES'}
Q_244,CRPC_167,{'type': 'MATCHES'}
Q_244,IEA_27,{'type': 'MATCHES'}
Q_245,fir,{'type': 'RELATES_TO'}
Q_245,CRPC_154,{'type': 'MATCHES'}
Q_245,CRPC_156,{'type': 'MATCHES'}
Q_245,CRPC_200,{'type': 'MATCHES'}
Q_245,CRPC_210,{'type': 'MATCHES'}
Q_245,CRPC_302,{'type': 'MATCHES'}
Q_245,CRPC_482,{'type': 'MATCHES'}
Q_245,CPC_24,{'type': 'MATCHES'}
Q_246,fir,{'type': 'RELATES_TO'}
Q_246,arrest,{'type': 'RELATES_TO'}
Q_246,anticipatory_bail,{'type': 'RELATES_TO'}
Q_246,CRPC_154,{'type': 'MATCHES'}
Q_246,CRPC_156,{'type': 'MATCHES'}
Q_246,CRPC_200,{'type': 'MATCHES'}
Q_246,CRPC_210,{'type': 'MATCHES'}
Q_246,CRPC_302,{'type': 'MATCHES'}
Q_246,CRPC_482,{'type': 'MATCHES'}
Q_246,CPC_24,{'type': 'MATCHES'}
Q_246,CRPC_41,{'type': 'MATCHES'}
Q_246,CRPC_73,{'type': 'MATCHES'}
Q_246,CRPC_160,{'type': 'MATCHES'}
Q_246,CRPC_167,{'type': 'MATCHES'}
Q_246,IEA_27,{'type': 'MATCHES'}
Q_246,CRPC_438,{'type': 'MATCHES'}
Q_248,fir,{'type': 'RELATES_TO'}
Q_248,CRPC_154,{'type': 'MATCHES'}
Q_248,CRPC_156,{'type': 'MATCHES'}
Q_248,CRPC_200,{'type': 'MATCHES'}
Q_248,CRPC_210,{'type': 'MATCHES'}
Q_248,CRPC_302,{'type': 'MATCHES'}
Q_248,CRPC_482,{'type': 'MATCHES'}
Q_248,CPC_24,{'type': 'MATCHES'}
Q_249,cheating,{'type': 'RELATES_TO'}
Q_249,IPC_415,{'type': 'MATCHES'}
Q_249,IPC_417,{'type': 'MATCHES'}
Q_249,IPC_419,{'type': 'MATCHES'}
Q_249,IPC_420,{'type': 'MATCHES'}
Q_249,CRPC_320,{'type': 'MATCHES'}
Q_249,ICA_73,{'type': 'MATCHES'}
Q_249,ICA_74,{'type': 'MATCHES'}
Q_249,ICA_75,{'type': 'MATCHES'}
Q_251,cheating,{'type': 'RELATES_TO'}
Q_251,arrest,{'type': 'RELATES_TO'}
Q_251,IPC_415,{'type': 'MATCHES'}
Q_251,IPC_417,{'type': 'MATCHES'}
Q_251,IPC_419,{'type': 'MATCHES'}
Q_251,IPC_420,{'type': 'MATCHES'}
Q_251,CRPC_320,{'type': 'MATCHES'}
Q_251,ICA_73,{'type': 'MATCHES'}
Q_251,ICA_74,{'type': 'MATCHES'}
Q_251,ICA_75,{'type': 'MATCHES'}
Q_251,CRPC_41,{'type': 'MATCHES'}
Q_251,CRPC_73,{'type': 'MATCHES'}
Q_251,CRPC_160,{'type': 'MATCHES'}
Q_251,CRPC_167,{'type': 'MATCHES'}
Q_251,IEA_27,{'type': 'MATCHES'}
Q_253,fir,{'type': 'RELATES_TO'}
Q_253,CRPC_154,{'type': 'MATCHES'}
Q_253,CRPC_156,{'type': 'MATCHES'}
Q_253,CRPC_200,{'type': 'MATCHES'}
Q_253,CRPC_210,{'type': 'MATCHES'}
Q_253,CRPC_302,{'type': 'MATCHES'}
Q_253,CRPC_482,{'type': 'MATCHES'}
Q_253,CPC_24,{'type': 'MATCHES'}
Q_254,fir,{'type': 'RELATES_TO'}
Q_254,CRPC_154,{'type': 'MATCHES'}
Q_254,CRPC_156,{'type': 'MATCHES'}
Q_254,CRPC_200,{'type': 'MATCHES'}
Q_254,CRPC_210,{'type': 'MATCHES'}
Q_254,CRPC_302,{'type': 'MATCHES'}
Q_254,CRPC_482,{'type': 'MATCHES'}
Q_254,CPC_24,{'type': 'MATCHES'}
Q_256,cheating,{'type': 'RELATES_TO'}
Q_256,IPC_415,{'type': 'MATCHES'}
Q_256,IPC_417,{'type': 'MATCHES'}
Q_256,IPC_419,{'type': 'MATCHES'}
Q_256,IPC_420,{'type': 'MATCHES'}
Q_256,CRPC_320,{'type': 'MATCHES'}
Q_256,ICA_73,{'type': 'MATCHES'}
Q_256,ICA_74,{'type': 'MATCHES'}
Q_256,ICA_75,{'type': 'MATCHES'}
Q_258,dowry_harassment,{'type': 'RELATES_TO'}
Q_258,IPC_304B,{'type': 'MATCHES'}
Q_258,DP_3,{'type': 'MATCHES'}
Q_258,DP_4,{'type': 'MATCHES'}
Q_259,fir,{'type': 'RELATES_TO'}
Q_259,cheating,{'type': 'RELATES_TO'}
Q_259,arrest,{'type': 'RELATES_TO'}
Q_259,CRPC_154,{'type': 'MATCHES'}
Q_259,CRPC_156,{'type': 'MATCHES'}
Q_259,CRPC_200,{'type': 'MATCHES'}
Q_259,CRPC_210,{'type': 'MATCHES'}
Q_259,CRPC_302,{'type': 'MATCHES'}
Q_259,CRPC_482,{'type': 'MATCHES'}
Q_259,CPC_24,{'type': 'MATCHES'}
Q_259,IPC_415,{'type': 'MATCHES'}
Q_259,IPC_417,{'type': 'MATCHES'}
Q_259,IPC_419,{'type': 'MATCHES'}
Q_259,IPC_420,{'type': 'MATCHES'}
Q_259,CRPC_320,{'type': 'MATCHES'}
Q_259,ICA_73,{'type': 'MATCHES'}
Q_259,ICA_74,{'type': 'MATCHES'}
Q_259,ICA_75,{'type': 'MATCHES'}
Q_259,CRPC_41,{'type': 'MATCHES'}
Q_259,CRPC_73,{'type': 'MATCHES'}
Q_259,CRPC_160,{'type': 'MATCHES'}
Q_259,CRPC_167,{'type': 'MATCHES'}
Q_259,IEA_27,{'type': 'MATCHES'}
Q_260,fir,{'type': 'RELATES_TO'}
Q_260,cybercrime,{'type': 'RELATES_TO'}
Q_260,arrest,{'type': 'RELATES_TO'}
Q_260,CRPC_154,{'type': 'MATCHES'}
Q_260,CRPC_156,{'type': 'MATCHES'}
Q_260,CRPC_200,{'type': 'MATCHES'}
Q_260,CRPC_210,{'type': 'MATCHES'}
Q_260,CRPC_302,{'type': 'MATCHES'}
Q_260,CRPC_482,{'type': 'MATCHES'}
Q_260,CPC_24,{'type': 'MATCHES'}
Q_260,CRPC_41,{'type': 'MATCHES'}
Q_260,CRPC_73,{'type': 'MATCHES'}
Q_260,CRPC_160,{'type': 'MATCHES'}
Q_260,CRPC_167,{'type': 'MATCHES'}
Q_260,IEA_27,{'type': 'MATCHES'}
Q_261,cheating,{'type': 'RELATES_TO'}
Q_261,IPC_415,{'type': 'MATCHES'}
Q_261,IPC_417,{'type': 'MATCHES'}
Q_261,IPC_419,{'type': 'MATCHES'}
Q_261,IPC_420,{'type': 'MATCHES'}
Q_261,CRPC_320,{'type': 'MATCHES'}
Q_261,ICA_73,{'type': 'MATCHES'}
Q_261,ICA_74,{'type': 'MATCHES'}
Q_261,ICA_75,{'type': 'MATCHES'}
Q_262,assault,{'type': 'RELATES_TO'}
Q_262,criminal_intimidation,{'type': 'RELATES_TO'}
Q_262,IPC_320,{'type': 'MATCHES'}
Q_262,IPC_323,{'type': 'MATCHES'}
Q_262,IPC_324,{'type': 'MATCHES'}
Q_262,IPC_325,{'type': 'MATCHES'}
Q_262,IPC_326,{'type': 'MATCHES'}
Q_262,IPC_337,{'type': 'MATCHES'}
Q_262,IPC_338,{'type': 'MATCHES'}
Q_262,IPC_350,{'type': 'MATCHES'}
Q_262,CRPC_320,{'type': 'MATCHES'}
Q_262,IPC_503,{'type': 'MATCHES'}
Q_262,IPC_504,{'type': 'MATCHES'}
Q_262,IPC_506,{'type': 'MATCHES'}
Q_263,fir,{'type': 'RELATES_TO'}
Q_263,CRPC_154,{'type': 'MATCHES'}
Q_263,CRPC_156,{'type': 'MATCHES'}
Q_263,CRPC_200,{'type': 'MATCHES'}
Q_263,CRPC_210,{'type': 'MATCHES'}
Q_263,CRPC_302,{'type': 'MATCHES'}
Q_263,CRPC_482,{'type': 'MATCHES'}
Q_263,CPC_24,{'type': 'MATCHES'}
Q_264,cheating,{'type': 'RELATES_TO'}
Q_264,IPC_415,{'type': 'MATCHES'}
Q_264,IPC_417,{'type': 'MATCHES'}
Q_264,IPC_419,{'type': 'MATCHES'}
Q_264,IPC_420,{'type': 'MATCHES'}
Q_264,CRPC_320,{'type': 'MATCHES'}
Q_264,ICA_73,{'type': 'MATCHES'}
Q_264,ICA_74,{'type': 'MATCHES'}
Q_264,ICA_75,{'type': 'MATCHES'}
Q_268,public_nuisance,{'type': 'RELATES_TO'}
Q_268,mischief,{'type': 'RELATES_TO'}
Q_268,arrest,{'type': 'RELATES_TO'}
Q_268,IPC_268,{'type': 'MATCHES'}
Q_268,IPC_290,{'type': 'MATCHES'}
Q_268,CRPC_107,{'type': 'MATCHES'}
Q_268,CRPC_116,{'type': 'MATCHES'}
Q_268,CRPC_133,{'type': 'MATCHES'}
Q_268,CRPC_144,{'type': 'MATCHES'}
Q_268,IPC_425,{'type': 'MATCHES'}
Q_268,IPC_427,{'type': 'MATCHES'}
Q_268,IPC_428,{'type': 'MATCHES'}
Q_268,IPC_429,{'type': 'MATCHES'}
Q_268,CRPC_41,{'type': 'MATCHES'}
Q_268,CRPC_73,{'type': 'MATCHES'}
Q_268,CRPC_160,{'type': 'MATCHES'}
Q_268,CRPC_167,{'type': 'MATCHES'}
Q_268,IEA_27,{'type': 'MATCHES'}
Q_269,charge_sheet,{'type': 'RELATES_TO'}
Q_269,CRPC_173,{'type': 'MATCHES'}
Q_269,CRPC_205,{'type': 'MATCHES'}
Q_269,CRPC_210,{'type': 'MATCHES'}
Q_269,CRPC_216,{'type': 'MATCHES'}
Q_269,CRPC_227,{'type': 'MATCHES'}
Q_269,CRPC_239,{'type': 'MATCHES'}
Q_269,CRPC_317,{'type': 'MATCHES'}
Q_270,maintenance,{'type': 'RELATES_TO'}
Q_270,bail,{'type': 'RELATES_TO'}
Q_270,rape,{'type': 'RELATES_TO'}
Q_270,anticipatory_bail,{'type': 'RELATES_TO'}
Q_270,CRPC_125,{'type': 'MATCHES'}
Q_270,HMA_9,{'type': 'MATCHES'}
Q_270,CRPC_167,{'type': 'MATCHES'}
Q_270,CRPC_397,{'type': 'MATCHES'}
Q_270,CRPC_439,{'type': 'MATCHES'}
Q_270,CRPC_482,{'type': 'MATCHES'}
Q_270,IPC_375,{'type': 'MATCHES'}
Q_270,IPC_376,{'type': 'MATCHES'}
Q_270,IEA_45,{'type': 'MATCHES'}
Q_270,CRPC_438,{'type': 'MATCHES'}
Q_272,fir,{'type': 'RELATES_TO'}
Q_272,cheating,{'type': 'RELATES_TO'}
Q_272,bail,{'type': 'RELATES_TO'}
Q_272,CRPC_154,{'type': 'MATCHES'}
Q_272,CRPC_156,{'type': 'MATCHES'}
Q_272,CRPC_200,{'type': 'MATCHES'}
Q_272,CRPC_210,{'type': 'MATCHES'}
Q_272,CRPC_302,{'type': 'MATCHES'}
Q_272,CRPC_482,{'type': 'MATCHES'}
Q_272,CPC_24,{'type': 'MATCHES'}
Q_272,IPC_415,{'type': 'MATCHES'}
Q_272,IPC_417,{'type': 'MATCHES'}
Q_272,IPC_419,{'type': 'MATCHES'}
Q_272,IPC_420,{'type': 'MATCHES'}
Q_272,CRPC_320,{'type': 'MATCHES'}
Q_272,ICA_73,{'type': 'MATCHES'}
Q_272,ICA_74,{'type': 'MATCHES'}
Q_272,ICA_75,{'type': 'MATCHES'}
Q_272,CRPC_167,{'type': 'MATCHES'}
Q_272,CRPC_397,{'type': 'MATCHES'}
Q_272,CRPC_439,{'type': 'MATCHES'}
Q_274,fir,{'type': 'RELATES_TO'}
Q_274,anticipatory_bail,{'type': 'RELATES_TO'}
Q_274,CRPC_154,{'type': 'MATCHES'}
Q_274,CRPC_156,{'type': 'MATCHES'}
Q_274,CRPC_200,{'type': 'MATCHES'}
Q_274,CRPC_210,{'type': 'MATCHES'}
Q_274,CRPC_302,{'type': 'MATCHES'}
Q_274,CRPC_482,{'type': 'MATCHES'}
Q_274,CPC_24,{'type': 'MATCHES'}
Q_274,CRPC_438,{'type': 'MATCHES'}
Q_275,cheating,{'type': 'RELATES_TO'}
Q_275,IPC_415,{'type': 'MATCHES'}
Q_275,IPC_417,{'type': 'MATCHES'}
Q_275,IPC_419,{'type': 'MATCHES'}
Q_275,IPC_420,{'type': 'MATCHES'}
Q_275,CRPC_320,{'type': 'MATCHES'}
Q_275,ICA_73,{'type': 'MATCHES'}
Q_275,ICA_74,{'type': 'MATCHES'}
Q_275,ICA_75,{'type': 'MATCHES'}
Q_277,cheating,{'type': 'RELATES_TO'}
Q_277,maintenance,{'type': 'RELATES_TO'}
Q_277,IPC_415,{'type': 'MATCHES'}
Q_277,IPC_417,{'type': 'MATCHES'}
Q_277,IPC_419,{'type': 'MATCHES'}
Q_277,IPC_420,{'type': 'MATCHES'}
Q_277,CRPC_320,{'type': 'MATCHES'}
Q_277,ICA_73,{'type': 'MATCHES'}
Q_277,ICA_74,{'type': 'MATCHES'}
Q_277,ICA_75,{'type': 'MATCHES'}
Q_277,CRPC_125,{'type': 'MATCHES'}
Q_277,HMA_9,{'type': 'MATCHES'}
Q_279,fir,{'type': 'RELATES_TO'}
Q_279,CRPC_154,{'type': 'MATCHES'}
Q_279,CRPC_156,{'type': 'MATCHES'}
Q_279,CRPC_200,{'type': 'MATCHES'}
Q_279,CRPC_210,{'type': 'MATCHES'}
Q_279,CRPC_302,{'type': 'MATCHES'}
Q_279,CRPC_482,{'type': 'MATCHES'}
Q_279,CPC_24,{'type': 'MATCHES'}
Q_281,fir,{'type': 'RELATES_TO'}
Q_281,CRPC_154,{'type': 'MATCHES'}
Q_281,CRPC_156,{'type': 'MATCHES'}
Q_281,CRPC_200,{'type': 'MATCHES'}
Q_281,CRPC_210,{'type': 'MATCHES'}
Q_281,CRPC_302,{'type': 'MATCHES'}
Q_281,CRPC_482,{'type': 'MATCHES'}
Q_281,CPC_24,{'type': 'MATCHES'}
Q_283,cybercrime,{'type': 'RELATES_TO'}
