node_id,type,label,source_graph,level,original_id,text,number,act,desc,query_text,informative_answer,actionable_answer,readable_answer
PC::Family Arrangement Established Between Widows,CaseFact,Family Arrangement Established Between Widows,PC_Family,pc,Family Arrangement Established Between Widows,,,,,,,,
PC::Respondent Received Benefit Under Family Arrangement,CaseFact,Respondent Received Benefit Under Family Arrangement,PC_Family,pc,Respondent Received Benefit Under Family Arrangement,,,,,,,,
PC::Trial Court Dismissed Respondent's Suit,CaseFact,Trial Court Dismissed Respondent's Suit,PC_Family,pc,Trial Court Dismissed Respondent's Suit,,,,,,,,
PC::Appeal Court Allowed Respondent's Claim for Possession,CaseFact,Appeal Court Allowed Respondent's Claim for Possession,PC_Family,pc,Appeal Court Allowed Respondent's Claim for Possession,,,,,,,,
PC::Principle of Ratification in Family Arrangements,CaseFact,Principle of Ratification in Family Arrangements,PC_Family,pc,Principle of Ratification in Family Arrangements,,,,,,,,
PC::Management of Temple Disputed,CaseFact,Management of Temple Disputed,PC_Family,pc,Management of Temple Disputed,,,,,,,,
PC::Pujaris Held Hereditary Office,CaseFact,Pujaris Held Hereditary Office,PC_Family,pc,Pujaris Held Hereditary Office,,,,,,,,
PC::Modification of Management Scheme Challenged,CaseFact,Modification of Management Scheme Challenged,PC_Family,pc,Modification of Management Scheme Challenged,,,,,,,,
PC::High Court Found Modification Within Jurisdiction,CaseFact,High Court Found Modification Within Jurisdiction,PC_Family,pc,High Court Found Modification Within Jurisdiction,,,,,,,,
PC::Pujaris Bound by Previous Decree,CaseFact,Pujaris Bound by Previous Decree,PC_Family,pc,Pujaris Bound by Previous Decree,,,,,,,,
PC::Trustee Authority to Regulate Worship Established,CaseFact,Trustee Authority to Regulate Worship Established,PC_Family,pc,Trustee Authority to Regulate Worship Established,,,,,,,,
PC::Minors Represented by Guardian in Suit,CaseFact,Minors Represented by Guardian in Suit,PC_Family,pc,Minors Represented by Guardian in Suit,,,,,,,,
PC::Preliminary Decree Challenged for Non-Compliance,CaseFact,Preliminary Decree Challenged for Non-Compliance,PC_Family,pc,Preliminary Decree Challenged for Non-Compliance,,,,,,,,
PC::High Court Dismissed Appeal Against Final Decree,CaseFact,High Court Dismissed Appeal Against Final Decree,PC_Family,pc,High Court Dismissed Appeal Against Final Decree,,,,,,,,
PC::Section 97 of the Code of Civil Procedure,LegalProvision,Section 97 of the Code of Civil Procedure,PC_Family,pc,Section 97 of the Code of Civil Procedure,,,,,,,,
PC::Application for Compensation Filed,CaseFact,Application for Compensation Filed,PC_Family,pc,Application for Compensation Filed,,,,,,,,
PC::Claim for Compensation Rejected as Time-Barred,CaseFact,Claim for Compensation Rejected as Time-Barred,PC_Family,pc,Claim for Compensation Rejected as Time-Barred,,,,,,,,
PC::Writ Petition Allowed by High Court,CaseFact,Writ Petition Allowed by High Court,PC_Family,pc,Writ Petition Allowed by High Court,,,,,,,,
"PC::Section 18 of the Land Acquisition Act, 1894",LegalProvision,"Section 18 of the Land Acquisition Act, 1894",PC_Family,pc,"Section 18 of the Land Acquisition Act, 1894",,,,,,,,
PC::Pre-emption Act Challenged as Unconstitutional,LegalProvision,Pre-emption Act Challenged as Unconstitutional,PC_Family,pc,Pre-emption Act Challenged as Unconstitutional,,,,,,,,
PC::Appellant Withdrew Pre-emption Price,CaseFact,Appellant Withdrew Pre-emption Price,PC_Family,pc,Appellant Withdrew Pre-emption Price,,,,,,,,
PC::Right of Appeal Not Forfeited by Withdrawing Money,CaseFact,Right of Appeal Not Forfeited by Withdrawing Money,PC_Family,pc,Right of Appeal Not Forfeited by Withdrawing Money,,,,,,,,
PC::Doctrine of Appropriation and Reprobation Discussed,CaseFact,Doctrine of Appropriation and Reprobation Discussed,PC_Family,pc,Doctrine of Appropriation and Reprobation Discussed,,,,,,,,
PC::Principle of Appropriation and Reprobation,CaseFact,Principle of Appropriation and Reprobation,PC_Family,pc,Principle of Appropriation and Reprobation,,,,,,,,
PC::Accident Caused by Driver Negligence,CaseFact,Accident Caused by Driver Negligence,PC_Family,pc,Accident Caused by Driver Negligence,,,,,,,,
PC::Claim for Compensation Under Fatal Accidents Act,LegalProvision,Claim for Compensation Under Fatal Accidents Act,PC_Family,pc,Claim for Compensation Under Fatal Accidents Act,,,,,,,,
PC::Pecuniary Loss Established for Dependents,CaseFact,Pecuniary Loss Established for Dependents,PC_Family,pc,Pecuniary Loss Established for Dependents,,,,,,,,
PC::Damages Awarded for Loss of Expectation of Life,CaseFact,Damages Awarded for Loss of Expectation of Life,PC_Family,pc,Damages Awarded for Loss of Expectation of Life,,,,,,,,
PC::Dispossession of Petitioners from Dharmasala,CaseFact,Dispossession of Petitioners from Dharmasala,PC_Family,pc,Dispossession of Petitioners from Dharmasala,,,,,,,,
PC::Management of Dharmasala by Petitioners,CaseFact,Management of Dharmasala by Petitioners,PC_Family,pc,Management of Dharmasala by Petitioners,,,,,,,,
PC::State Action Lacked Legal Authority,CaseFact,State Action Lacked Legal Authority,PC_Family,pc,State Action Lacked Legal Authority,,,,,,,,
PC::Violation of Fundamental Rights by State,CaseFact,Violation of Fundamental Rights by State,PC_Family,pc,Violation of Fundamental Rights by State,,,,,,,,
PC::Principle of Rule of Law,LegalProvision,Principle of Rule of Law,PC_Family,pc,Principle of Rule of Law,,,,,,,,
PC::Eldest Son Claimed Succession to Wakf,CaseFact,Eldest Son Claimed Succession to Wakf,PC_Family,pc,Eldest Son Claimed Succession to Wakf,,,,,,,,
PC::Dispute Over Appointment of Temporary Mutawalli,CaseFact,Dispute Over Appointment of Temporary Mutawalli,PC_Family,pc,Dispute Over Appointment of Temporary Mutawalli,,,,,,,,
PC::Commissioner Appointed Temporary Mutawalli,CaseFact,Commissioner Appointed Temporary Mutawalli,PC_Family,pc,Commissioner Appointed Temporary Mutawalli,,,,,,,,
PC::High Court Reversed Initial Order,LegalProvision,High Court Reversed Initial Order,PC_Family,pc,High Court Reversed Initial Order,,,,,,,,
PC::Delegation of Powers Under Bengal Wakf Act Discussed,LegalProvision,Delegation of Powers Under Bengal Wakf Act Discussed,PC_Family,pc,Delegation of Powers Under Bengal Wakf Act Discussed,,,,,,,,
PC::Section 40 of the Bengal Wakf Act,LegalProvision,Section 40 of the Bengal Wakf Act,PC_Family,pc,Section 40 of the Bengal Wakf Act,,,,,,,,
PC::Section 29 of the Bengal Wakf Act,LegalProvision,Section 29 of the Bengal Wakf Act,PC_Family,pc,Section 29 of the Bengal Wakf Act,,,,,,,,
PC::Appellant Claimed Half Share in Joint Family Properties,CaseFact,Appellant Claimed Half Share in Joint Family Properties,PC_Family,pc,Appellant Claimed Half Share in Joint Family Properties,,,,,,,,
PC::Trial Court Dismissed Suit for Partition,CaseFact,Trial Court Dismissed Suit for Partition,PC_Family,pc,Trial Court Dismissed Suit for Partition,,,,,,,,
PC::High Court Reversed Trial Court Decision on Certain Alienations,CaseFact,High Court Reversed Trial Court Decision on Certain Alienations,PC_Family,pc,High Court Reversed Trial Court Decision on Certain Alienations,,,,,,,,
PC::Application for Certificate Under Article 133(1) Rejected,LegalProvision,Application for Certificate Under Article 133(1) Rejected,PC_Family,pc,Application for Certificate Under Article 133(1) Rejected,,,,,,,,
PC::Article 133(1) of the Constitution of India,LegalProvision,Article 133(1) of the Constitution of India,PC_Family,pc,Article 133(1) of the Constitution of India,,,,,,,,
PC::Appellant Challenged Validity of Income-tax Act,LegalProvision,Appellant Challenged Validity of Income-tax Act,PC_Family,pc,Appellant Challenged Validity of Income-tax Act,,,,,,,,
PC::High Court Found Burden of Proof on Appellant Strict,CaseFact,High Court Found Burden of Proof on Appellant Strict,PC_Family,pc,High Court Found Burden of Proof on Appellant Strict,,,,,,,,
PC::Claim for Deduction of Expenses Related to Estate Management,CaseFact,Claim for Deduction of Expenses Related to Estate Management,PC_Family,pc,Claim for Deduction of Expenses Related to Estate Management,,,,,,,,
PC::Expenses Considered Necessary for Estate Administration,CaseFact,Expenses Considered Necessary for Estate Administration,PC_Family,pc,Expenses Considered Necessary for Estate Administration,,,,,,,,
PC::High Court Reversed Decision on Deductibility of Expenses,CaseFact,High Court Reversed Decision on Deductibility of Expenses,PC_Family,pc,High Court Reversed Decision on Deductibility of Expenses,,,,,,,,
PC::Section 14(5) of the Hyderabad Income-tax Act,LegalProvision,Section 14(5) of the Hyderabad Income-tax Act,PC_Family,pc,Section 14(5) of the Hyderabad Income-tax Act,,,,,,,,
PC::Dispute Over Agricultural Income Tax,CaseFact,Dispute Over Agricultural Income Tax,PC_Family,pc,Dispute Over Agricultural Income Tax,,,,,,,,
PC::Appellant Utilized Agricultural Produce for Business,CaseFact,Appellant Utilized Agricultural Produce for Business,PC_Family,pc,Appellant Utilized Agricultural Produce for Business,,,,,,,,
PC::Appellant Claimed Agricultural Produce Not Taxable Without Sale,CaseFact,Appellant Claimed Agricultural Produce Not Taxable Without Sale,PC_Family,pc,Appellant Claimed Agricultural Produce Not Taxable Without Sale,,,,,,,,
PC::High Court Affirmed Tax on Agricultural Income,CaseFact,High Court Affirmed Tax on Agricultural Income,PC_Family,pc,High Court Affirmed Tax on Agricultural Income,,,,,,,,
PC::Section 2(1)(b) of the Bengal Agricultural Income-Tax Act IV of 1944,LegalProvision,Section 2(1)(b) of the Bengal Agricultural Income-Tax Act IV of 1944,PC_Family,pc,Section 2(1)(b) of the Bengal Agricultural Income-Tax Act IV of 1944,,,,,,,,
PC::Rule 4 of the Bengal Agricultural Income-Tax Act IV of 1944,LegalProvision,Rule 4 of the Bengal Agricultural Income-Tax Act IV of 1944,PC_Family,pc,Rule 4 of the Bengal Agricultural Income-Tax Act IV of 1944,,,,,,,,
PC::Right to Receive Allowance Challenged,CaseFact,Right to Receive Allowance Challenged,PC_Family,pc,Right to Receive Allowance Challenged,,,,,,,,
PC::Claim for Pension Based on Ancestral Rights,CaseFact,Claim for Pension Based on Ancestral Rights,PC_Family,pc,Claim for Pension Based on Ancestral Rights,,,,,,,,
PC::High Court Found Allowance Not an Estate,CaseFact,High Court Found Allowance Not an Estate,PC_Family,pc,High Court Found Allowance Not an Estate,,,,,,,,
PC::Claim Relates to Abandonment of Land Rights,CaseFact,Claim Relates to Abandonment of Land Rights,PC_Family,pc,Claim Relates to Abandonment of Land Rights,,,,,,,,
PC::Government Stopped Payment of Allowance,CaseFact,Government Stopped Payment of Allowance,PC_Family,pc,Government Stopped Payment of Allowance,,,,,,,,
PC::Murder Incident Involving Rival Candidates,CaseFact,Murder Incident Involving Rival Candidates,PC_Family,pc,Murder Incident Involving Rival Candidates,,,,,,,,
PC::Witness Testimony Corroborated by Another Witness,CaseFact,Witness Testimony Corroborated by Another Witness,PC_Family,pc,Witness Testimony Corroborated by Another Witness,,,,,,,,
PC::High Court Upheld Conviction Based on Witness Evidence,CaseFact,High Court Upheld Conviction Based on Witness Evidence,PC_Family,pc,High Court Upheld Conviction Based on Witness Evidence,,,,,,,,
PC::Appellants Claimed Implication Due to Enmity,CaseFact,Appellants Claimed Implication Due to Enmity,PC_Family,pc,Appellants Claimed Implication Due to Enmity,,,,,,,,
PC::Section 6 of the Indian Evidence Act,LegalProvision,Section 6 of the Indian Evidence Act,PC_Family,pc,Section 6 of the Indian Evidence Act,,,,,,,,
PC::Section 157 of the Indian Evidence Act,LegalProvision,Section 157 of the Indian Evidence Act,PC_Family,pc,Section 157 of the Indian Evidence Act,,,,,,,,
PC::Dispute Over Succession to Nawab's Estate,CaseFact,Dispute Over Succession to Nawab's Estate,PC_Family,pc,Dispute Over Succession to Nawab's Estate,,,,,,,,
PC::Illegitimate Children Claim Legitimacy,CaseFact,Illegitimate Children Claim Legitimacy,PC_Family,pc,Illegitimate Children Claim Legitimacy,,,,,,,,
PC::Wives of Nawab Challenged Government Decision,CaseFact,Wives of Nawab Challenged Government Decision,PC_Family,pc,Wives of Nawab Challenged Government Decision,,,,,,,,
PC::Final Decision of Civil Court Binds Atiyat Courts,CaseFact,Final Decision of Civil Court Binds Atiyat Courts,PC_Family,pc,Final Decision of Civil Court Binds Atiyat Courts,,,,,,,,
"PC::Section 13(2) of the Hyderabad Atiyat Enquiries Act, 1952",LegalProvision,"Section 13(2) of the Hyderabad Atiyat Enquiries Act, 1952",PC_Family,pc,"Section 13(2) of the Hyderabad Atiyat Enquiries Act, 1952",,,,,,,,
PC::Claim for Partition by Appellants,CaseFact,Claim for Partition by Appellants,PC_Family,pc,Claim for Partition by Appellants,,,,,,,,
PC::Respondent Denied Partition Claim,CaseFact,Respondent Denied Partition Claim,PC_Family,pc,Respondent Denied Partition Claim,,,,,,,,
PC::Trial Court Found for Appellants,CaseFact,Trial Court Found for Appellants,PC_Family,pc,Trial Court Found for Appellants,,,,,,,,
PC::High Court Reversed Part of Trial Court Decision,CaseFact,High Court Reversed Part of Trial Court Decision,PC_Family,pc,High Court Reversed Part of Trial Court Decision,,,,,,,,
PC::Alleged Partition in 1929 Not Proved,CaseFact,Alleged Partition in 1929 Not Proved,PC_Family,pc,Alleged Partition in 1929 Not Proved,,,,,,,,
PC::Family Considered Undivided Hindu Family,CaseFact,Family Considered Undivided Hindu Family,PC_Family,pc,Family Considered Undivided Hindu Family,,,,,,,,
PC::Channamma Held Property as Limited Owner,CaseFact,Channamma Held Property as Limited Owner,PC_Family,pc,Channamma Held Property as Limited Owner,,,,,,,,
PC::Doctrine of Blending Not Applicable to Limited Owner,CaseFact,Doctrine of Blending Not Applicable to Limited Owner,PC_Family,pc,Doctrine of Blending Not Applicable to Limited Owner,,,,,,,,
PC::Respondent 1 Acted as Manager of Family,CaseFact,Respondent 1 Acted as Manager of Family,PC_Family,pc,Respondent 1 Acted as Manager of Family,,,,,,,,
PC::Expenses for Litigation Borne by Joint Family Funds,CaseFact,Expenses for Litigation Borne by Joint Family Funds,PC_Family,pc,Expenses for Litigation Borne by Joint Family Funds,,,,,,,,
PC::Writ Petitions Filed for Enforcement of Fundamental Rights,CaseFact,Writ Petitions Filed for Enforcement of Fundamental Rights,PC_Family,pc,Writ Petitions Filed for Enforcement of Fundamental Rights,,,,,,,,
PC::Previous Writ Petition Dismissed by High Court,CaseFact,Previous Writ Petition Dismissed by High Court,PC_Family,pc,Previous Writ Petition Dismissed by High Court,,,,,,,,
PC::Claim of Res Judicata Raised by Respondents,CaseFact,Claim of Res Judicata Raised by Respondents,PC_Family,pc,Claim of Res Judicata Raised by Respondents,,,,,,,,
PC::Petitioners Argued Fundamental Rights Cannot be Barred by Res Judicata,CaseFact,Petitioners Argued Fundamental Rights Cannot be Barred by Res Judicata,PC_Family,pc,Petitioners Argued Fundamental Rights Cannot be Barred by Res Judicata,,,,,,,,
PC::Court Discussed Discretionary Nature of Relief Under Article 32,LegalProvision,Court Discussed Discretionary Nature of Relief Under Article 32,PC_Family,pc,Court Discussed Discretionary Nature of Relief Under Article 32,,,,,,,,
PC::Section 11 of the Code of Civil Procedure,LegalProvision,Section 11 of the Code of Civil Procedure,PC_Family,pc,Section 11 of the Code of Civil Procedure,,,,,,,,
PC::Writ Petition Filed Challenging Durgah Khwaja Saheb Act,LegalProvision,Writ Petition Filed Challenging Durgah Khwaja Saheb Act,PC_Family,pc,Writ Petition Filed Challenging Durgah Khwaja Saheb Act,,,,,,,,
PC::High Court Found Certain Provisions Ultra Vires,CaseFact,High Court Found Certain Provisions Ultra Vires,PC_Family,pc,High Court Found Certain Provisions Ultra Vires,,,,,,,,
PC::Durgah Committee Composition Disputed,CaseFact,Durgah Committee Composition Disputed,PC_Family,pc,Durgah Committee Composition Disputed,,,,,,,,
PC::Khadims Claim Rights to Offerings and Nazars,CaseFact,Khadims Claim Rights to Offerings and Nazars,PC_Family,pc,Khadims Claim Rights to Offerings and Nazars,,,,,,,,
PC::Will Alleged to be Made Under Undue Influence,CaseFact,Will Alleged to be Made Under Undue Influence,PC_Family,pc,Will Alleged to be Made Under Undue Influence,,,,,,,,
PC::Trial Court Found No Undue Influence or Fraud,CaseFact,Trial Court Found No Undue Influence or Fraud,PC_Family,pc,Trial Court Found No Undue Influence or Fraud,,,,,,,,
PC::Land Claimed as Ancestral,CaseFact,Land Claimed as Ancestral,PC_Family,pc,Land Claimed as Ancestral,,,,,,,,
PC::District Judge Recognized Part of Land as Ancestral,CaseFact,District Judge Recognized Part of Land as Ancestral,PC_Family,pc,District Judge Recognized Part of Land as Ancestral,,,,,,,,
PC::High Court Reversed District Court Decision,CaseFact,High Court Reversed District Court Decision,PC_Family,pc,High Court Reversed District Court Decision,,,,,,,,
PC::Claim for Succession to Property by Adopted Son,CaseFact,Claim for Succession to Property by Adopted Son,PC_Family,pc,Claim for Succession to Property by Adopted Son,,,,,,,,
PC::Natural Father Pre-Deceased Grandfather,CaseFact,Natural Father Pre-Deceased Grandfather,PC_Family,pc,Natural Father Pre-Deceased Grandfather,,,,,,,,
PC::Dispute Over Customary Rights of Adopted Son,CaseFact,Dispute Over Customary Rights of Adopted Son,PC_Family,pc,Dispute Over Customary Rights of Adopted Son,,,,,,,,
PC::High Court Dismissed Appeal for Succession,CaseFact,High Court Dismissed Appeal for Succession,PC_Family,pc,High Court Dismissed Appeal for Succession,,,,,,,,
PC::Court Found No Right to Succeed Under Hindu Law or Custom,CaseFact,Court Found No Right to Succeed Under Hindu Law or Custom,PC_Family,pc,Court Found No Right to Succeed Under Hindu Law or Custom,,,,,,,,
"PC::Section 5 of the Punjab Laws Act, No. IV of 1872",LegalProvision,"Section 5 of the Punjab Laws Act, No. IV of 1872",PC_Family,pc,"Section 5 of the Punjab Laws Act, No. IV of 1872",,,,,,,,
PC::Principle of Representation in Succession,CaseFact,Principle of Representation in Succession,PC_Family,pc,Principle of Representation in Succession,,,,,,,,
PC::Minor Involved in Partition Suit,CaseFact,Minor Involved in Partition Suit,PC_Family,pc,Minor Involved in Partition Suit,,,,,,,,
PC::Guardian Appointed for Minor,CaseFact,Guardian Appointed for Minor,PC_Family,pc,Guardian Appointed for Minor,,,,,,,,
PC::Objections to Arbitrator Award Filed Late,CaseFact,Objections to Arbitrator Award Filed Late,PC_Family,pc,Objections to Arbitrator Award Filed Late,,,,,,,,
PC::High Court Dismissed Appeal for Lack of Competence,CaseFact,High Court Dismissed Appeal for Lack of Competence,PC_Family,pc,High Court Dismissed Appeal for Lack of Competence,,,,,,,,
PC::Intimation of Award Filing Considered Sufficient Notice,CaseFact,Intimation of Award Filing Considered Sufficient Notice,PC_Family,pc,Intimation of Award Filing Considered Sufficient Notice,,,,,,,,
PC::Article 158 of the Limitation Act,LegalProvision,Article 158 of the Limitation Act,PC_Family,pc,Article 158 of the Limitation Act,,,,,,,,
PC::Trial Court Dismissed Appellant's Suit,CaseFact,Trial Court Dismissed Appellant's Suit,PC_Family,pc,Trial Court Dismissed Appellant's Suit,,,,,,,,
PC::Appellate Decree Passed for Partition in Favor of Appellant,CaseFact,Appellate Decree Passed for Partition in Favor of Appellant,PC_Family,pc,Appellate Decree Passed for Partition in Favor of Appellant,,,,,,,,
PC::Petitioners Challenge Tax Act as Unconstitutional,LegalProvision,Petitioners Challenge Tax Act as Unconstitutional,PC_Family,pc,Petitioners Challenge Tax Act as Unconstitutional,,,,,,,,
PC::Tax Imposed on Fares and Freights,CaseFact,Tax Imposed on Fares and Freights,PC_Family,pc,Tax Imposed on Fares and Freights,,,,,,,,
PC::Arguments Raised Against Tax Discrimination,CaseFact,Arguments Raised Against Tax Discrimination,PC_Family,pc,Arguments Raised Against Tax Discrimination,,,,,,,,
PC::Lump Sum Payment for Tax Challenged,CaseFact,Lump Sum Payment for Tax Challenged,PC_Family,pc,Lump Sum Payment for Tax Challenged,,,,,,,,
PC::Tax Based on Average Earnings of Operators,CaseFact,Tax Based on Average Earnings of Operators,PC_Family,pc,Tax Based on Average Earnings of Operators,,,,,,,,
PC::Tax Affects Inter-State Trade,CaseFact,Tax Affects Inter-State Trade,PC_Family,pc,Tax Affects Inter-State Trade,,,,,,,,
PC::Articles 301 and 304 of the Constitution of India,LegalProvision,Articles 301 and 304 of the Constitution of India,PC_Family,pc,Articles 301 and 304 of the Constitution of India,,,,,,,,
"PC::Section 21 of the Rajasthan Passengers and Goods Taxation Act, 1959",LegalProvision,"Section 21 of the Rajasthan Passengers and Goods Taxation Act, 1959",PC_Family,pc,"Section 21 of the Rajasthan Passengers and Goods Taxation Act, 1959",,,,,,,,
PC::Claim for Recovery of Arrears of Rent,CaseFact,Claim for Recovery of Arrears of Rent,PC_Family,pc,Claim for Recovery of Arrears of Rent,,,,,,,,
PC::Previous Suit Dismissed on Res Judicata,CaseFact,Previous Suit Dismissed on Res Judicata,PC_Family,pc,Previous Suit Dismissed on Res Judicata,,,,,,,,
PC::Ejectment Sought from Tenant,CaseFact,Ejectment Sought from Tenant,PC_Family,pc,Ejectment Sought from Tenant,,,,,,,,
PC::Rent Agreement Executed in Favor of Respondent,CaseFact,Rent Agreement Executed in Favor of Respondent,PC_Family,pc,Rent Agreement Executed in Favor of Respondent,,,,,,,,
PC::Occupancy Rights Claimed by Plaintiff,CaseFact,Occupancy Rights Claimed by Plaintiff,PC_Family,pc,Occupancy Rights Claimed by Plaintiff,,,,,,,,
PC::Dispute Over Proprietary Rights in Agricultural Lands,CaseFact,Dispute Over Proprietary Rights in Agricultural Lands,PC_Family,pc,Dispute Over Proprietary Rights in Agricultural Lands,,,,,,,,
PC::Deceased Thammiah Had Two Sons and Four Daughters,CaseFact,Deceased Thammiah Had Two Sons and Four Daughters,PC_Family,pc,Deceased Thammiah Had Two Sons and Four Daughters,,,,,,,,
PC::High Court Modified Trial Court Decree,CaseFact,High Court Modified Trial Court Decree,PC_Family,pc,High Court Modified Trial Court Decree,,,,,,,,
"PC::Section 6 of the Madras Estates Land Act, 1908",LegalProvision,"Section 6 of the Madras Estates Land Act, 1908",PC_Family,pc,"Section 6 of the Madras Estates Land Act, 1908",,,,,,,,
PC::Disputed Property Resumed by Administrator,CaseFact,Disputed Property Resumed by Administrator,PC_Family,pc,Disputed Property Resumed by Administrator,,,,,,,,
PC::Respondents Challenged Validity of Resumption Orders,CaseFact,Respondents Challenged Validity of Resumption Orders,PC_Family,pc,Respondents Challenged Validity of Resumption Orders,,,,,,,,
PC::Sovereignty Changeover Date Disputed,CaseFact,Sovereignty Changeover Date Disputed,PC_Family,pc,Sovereignty Changeover Date Disputed,,,,,,,,
PC::State of Saurashtra v. Memon Haji Ismail Haji,CaseLaw,State of Saurashtra v. Memon Haji Ismail Haji,PC_Family,pc,State of Saurashtra v. Memon Haji Ismail Haji,,,,,,,,
PC::Referendum Held in Junagadh,CaseFact,Referendum Held in Junagadh,PC_Family,pc,Referendum Held in Junagadh,,,,,,,,
PC::Elected Representatives Resolved to Transfer Administration,CaseFact,Elected Representatives Resolved to Transfer Administration,PC_Family,pc,Elected Representatives Resolved to Transfer Administration,,,,,,,,
PC::Sugar Cane Classification Disputed,CaseFact,Sugar Cane Classification Disputed,PC_Family,pc,Sugar Cane Classification Disputed,,,,,,,,
PC::High Court Found Sugar Cane Not a Green Vegetable,CaseFact,High Court Found Sugar Cane Not a Green Vegetable,PC_Family,pc,High Court Found Sugar Cane Not a Green Vegetable,,,,,,,,
PC::Appellant Challenged Sales Tax Assessment,CaseFact,Appellant Challenged Sales Tax Assessment,PC_Family,pc,Appellant Challenged Sales Tax Assessment,,,,,,,,
"PC::Section 6 of the Bihar Sales Tax Act, 1947",LegalProvision,"Section 6 of the Bihar Sales Tax Act, 1947",PC_Family,pc,"Section 6 of the Bihar Sales Tax Act, 1947",,,,,,,,
PC::Definition of Dealer Under Bihar Sales Tax Act Discussed,LegalProvision,Definition of Dealer Under Bihar Sales Tax Act Discussed,PC_Family,pc,Definition of Dealer Under Bihar Sales Tax Act Discussed,,,,,,,,
PC::Temple Defined Under Madras Hindu Religious Endowments Act,LegalProvision,Temple Defined Under Madras Hindu Religious Endowments Act,PC_Family,pc,Temple Defined Under Madras Hindu Religious Endowments Act,,,,,,,,
PC::Public Worship Established at Jagannadhaswami Temple,CaseFact,Public Worship Established at Jagannadhaswami Temple,PC_Family,pc,Public Worship Established at Jagannadhaswami Temple,,,,,,,,
PC::High Court Reversed District Judge Decision,CaseFact,High Court Reversed District Judge Decision,PC_Family,pc,High Court Reversed District Judge Decision,,,,,,,,
PC::Appellants Claimed Temple as Private Worship Place,CaseFact,Appellants Claimed Temple as Private Worship Place,PC_Family,pc,Appellants Claimed Temple as Private Worship Place,,,,,,,,
PC::Income from Durgah Shared Among Male Descendants,CaseFact,Income from Durgah Shared Among Male Descendants,PC_Family,pc,Income from Durgah Shared Among Male Descendants,,,,,,,,
PC::Females Excluded from Income Distribution by Custom,CaseFact,Females Excluded from Income Distribution by Custom,PC_Family,pc,Females Excluded from Income Distribution by Custom,,,,,,,,
PC::Plaintiffs Claimed Right to Perform Urs Ceremony,CaseFact,Plaintiffs Claimed Right to Perform Urs Ceremony,PC_Family,pc,Plaintiffs Claimed Right to Perform Urs Ceremony,,,,,,,,
PC::Trial Court Found Custom Precluded Plaintiffs from Income,CaseFact,Trial Court Found Custom Precluded Plaintiffs from Income,PC_Family,pc,Trial Court Found Custom Precluded Plaintiffs from Income,,,,,,,,
PC::High Court Held Shariat Act Applicable to Income Distribution,LegalProvision,High Court Held Shariat Act Applicable to Income Distribution,PC_Family,pc,High Court Held Shariat Act Applicable to Income Distribution,,,,,,,,
PC::Plaintiffs Filed Suit for Declaration and Injunction,CaseFact,Plaintiffs Filed Suit for Declaration and Injunction,PC_Family,pc,Plaintiffs Filed Suit for Declaration and Injunction,,,,,,,,
PC::Appellant Filed Suit for Possession of Property,CaseFact,Appellant Filed Suit for Possession of Property,PC_Family,pc,Appellant Filed Suit for Possession of Property,,,,,,,,
PC::High Court Found Title of Kanakmal Established,CaseFact,High Court Found Title of Kanakmal Established,PC_Family,pc,High Court Found Title of Kanakmal Established,,,,,,,,
PC::High Court Held Adoption Did Not Divest Estate of Jadav Bai,CaseFact,High Court Held Adoption Did Not Divest Estate of Jadav Bai,PC_Family,pc,High Court Held Adoption Did Not Divest Estate of Jadav Bai,,,,,,,,
PC::Death of Jadav Bai Occurred Before Suit Filed,CaseFact,Death of Jadav Bai Occurred Before Suit Filed,PC_Family,pc,Death of Jadav Bai Occurred Before Suit Filed,,,,,,,,
PC::Section 12 of the Code of Civil Procedure,LegalProvision,Section 12 of the Code of Civil Procedure,PC_Family,pc,Section 12 of the Code of Civil Procedure,,,,,,,,
PC::Adoption Occurred Before Natural Father's Death,CaseFact,Adoption Occurred Before Natural Father's Death,PC_Family,pc,Adoption Occurred Before Natural Father's Death,,,,,,,,
PC::Hindu Law on Acceleration of Succession,CaseFact,Hindu Law on Acceleration of Succession,PC_Family,pc,Hindu Law on Acceleration of Succession,,,,,,,,
PC::Petitioner Challenged Liability to Pay Hukamnama,CaseFact,Petitioner Challenged Liability to Pay Hukamnama,PC_Family,pc,Petitioner Challenged Liability to Pay Hukamnama,,,,,,,,
PC::Hukamnama Defined as Payment for Succession Recognition,CaseFact,Hukamnama Defined as Payment for Succession Recognition,PC_Family,pc,Hukamnama Defined as Payment for Succession Recognition,,,,,,,,
PC::Succession to Scheduled Jagir Governed by Primogeniture,LegalProvision,Succession to Scheduled Jagir Governed by Primogeniture,PC_Family,pc,Succession to Scheduled Jagir Governed by Primogeniture,,,,,,,,
PC::Recognition of Succession Required Government Approval,CaseFact,Recognition of Succession Required Government Approval,PC_Family,pc,Recognition of Succession Required Government Approval,,,,,,,,
PC::Rajasthan Act Extinguished Tribute Payments,LegalProvision,Rajasthan Act Extinguished Tribute Payments,PC_Family,pc,Rajasthan Act Extinguished Tribute Payments,,,,,,,,
