question,answer,chain_q,chain_q_types,chain_q_edges,chain_q_len,chain_a,chain_a_types,chain_a_edges,chain_a_len
"During interrogation confession statement of thief not made on a front of magistrate which is not admissible in the court but Police involve my father in false case u/s 380,457 and 411 ipc i am apply for anticipatory bail in sessions court it is rejected then apply in high court chandigarh and get interim relief after that my father join investigation but police ask for recovery in court and anticipatory bail gets rejected if i don't get stolen property how to get recovered My father acquitted in 3 other criminal cases of u/s 379, 411 and 482 Police can do this only for political pressure because my property case is pending in the court. How to get anticipatory bail can i file court case because confession statement not admissible in court and why police interrogate my father and go for jail( Jalandhar, Punjab )",You can file bail application..,"[""Need for anticipatory bail"", ""Section 482 of CrPC""]","[""fact"", ""rule""]","[""Complies With""]",2,"[""Accused can file application under relevant sections of IPC"", ""Section 340 of CrPC""]","[""fact"", ""rule""]","[""Complies With""]",2
"A man sexually exploited me under false promises of marriage. When I filed a complaint, the police facilitated a compromise to marry instead of registering an FIR. But then he refused and went missing so I filed a complaint reporting those events. The police sent me back saying they will register an FIR based on both the complaints but they registered only the second complaint under IPC 417, 420. When I asked why they did not register the offence of 376 I reported first, they said they will alter the section but after one month they are refusing. They have not yet remanded the accused either. What are my legal options now? How can I get 376 added?( Hyderabad, Telangana )","Hello Ma'amIt would be advised to write a letter to the senior officers of Police Department, for eg. SP, DIG, regarding the same. 376 is a henious offence you could force them to add that particular section in the FIR.ThanksPlease rate if you find this advice helpful.","[""Complaint against boyfriend for cheating, fraud, criminal breach of trust, and rape under false promises of marriage"", ""Section 420 of IPC""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Double complaints for the same offence could be quashed by the high court"", ""Need to file a police complaint against an accused with an existing complaint""]","[""fact"", ""fact""]","[""Depends On""]",2
"My husband had a workmate before our marriage, she was in an abusive marriage as per her, and wanted divorce from her husband, as per the information we got she has multiple affairs due to sympathy, she use to make friends than try to have a comfort with them, and than all of a sudden her husband comes into picture threatening and abusing the boys..
Currently my husband is in worst stage, he doesn't sleep , cannot focus on work.

They are threatening him saying that you forced her into this, behla fusla kar you had an affair, even if you both had consent no body can prove it.
She will say what I want her to say in court.
They threatened me yesterday that they will destroy us and our families and we will have to bear the consequences.

I have had bad thoughts yesterday about us living, women can blame anyone known or unknown.
This is sick.( Delhi, Delhi )","Dear client,Here are a few suggestions:Safety first: If you or your husband feel threatened or unsafe, consider reaching out to local authorities or law enforcement to report the threats and seek their guidance on how to ensure your safety.Seek legal advice: Consult with a lawyer who specializes in family law or domestic issues. They can provide guidance on how to navigate the situation, protect your rights, and take appropriate legal steps if necessary. They may advise you on collecting evidence, filing for a restraining order, or taking other legal actions to protect yourselves.Document evidence: Keep a record of any threats, abusive behavior, or incidents that occur. Preserve any evidence such as text messages, emails, or other communication that may be relevant to your case.Build a support network: Reach out to friends, family, or support organizations that can offer emotional support and guidance during this challenging time. Surrounding yourselves with trusted individuals can provide some comfort and help you through the process.Focus on self-care: It's important to prioritize your mental and emotional well-being. Consider seeking therapy or counseling to help you cope with the stress and emotions you may be experiencing.","[""User was misled into leaving her husband by boyfriend"", ""Section 376 of IPC""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Both cases may be quashed if you go to High Court"", ""User is seeking to quash the chargesheet in the first case""]","[""fact"", ""fact""]","[""Complies With""]",2
"How to i solving  loan summan problems?( Tiruppur, Tamil Nadu )","Hi,Please make sure you appear before the court on the day of summon. You can seek more extension from the court to make the repayments.","[""Creation of Family Problems"", ""Section 406 of IPC""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Court summon to appear before court"", ""User is required to sign a bond before trial starts""]","[""fact"", ""fact""]","[""Depends On""]",2
"Once a criminal case of dishonoring land sale agreement is settled will it reflect in PCC for GC to USA( Kottayam, Kerala )","Dear Sir,No, normally when the criminal cases are settled it should not be reflected in PCC.Please take PAID phone call with me through VIDHIKARYA and get more legal guidance.","[""Breach of Sale Agreement"", ""User reclaimed buses due to non-payment of dues""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Need for legal guidance regarding FIR withdrawal"", ""Section 164 of CrPC""]","[""fact"", ""rule""]","[""Complies With""]",2
"My brother got expired few months back. Police given statement as it is sucide due to issues with his wife. When he committed sucide/got  murdered, he and his wife is only there in the home and no one saw when he was hanging. Now we locked the house where he(my brother) was expired as it is one the prime evidence and conveyed/ raised our quiries to police even though PM is given as aspoxiya due to hanging, but they didn't given proper answer.
 
Meanwhile my brother's  wife enter the  entered house by breaking the lock with out any notice to us and locked it again with her lock. Now we are suspecting that, she trespassed to the the house to clean any evidence. Now also police not responding to this and saying that what can we do if a wife enter to her husband house.

How to proceed with this...?( Hyderabad, Telangana )","Hi,You can lodge a complain and ask the police to go for further investigation, if you are suspecting something. Until and unless you have such permissions you cannot lock the room and not ask your brother's wife to  not to enter into the house.Thanks.","[""Parents facing harassment from brother and his wife"", ""Section 3 of the Maintenance and Welfare of Parents & Sr. Citizens Act, 2007""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Both cases may be quashed if you go to High Court"", ""User is seeking to quash the chargesheet in the first case""]","[""fact"", ""fact""]","[""Complies With""]",2
"I have been a regular customer at this shop I would steal occasionally steal face wash and soaps etc The owner filed complaint against me I am worried this might distroy my career( Ratnagiri, Maharashtra )","Dear client,If it is a petty case, then compromise is allowed by the Court under section 320 of CrPC. Else, please defend yourself in Court with the help of a lawyer","[""Legal action taken against the owner of the medical shop"", ""Section 304 of IPC""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Case disposed by the court"", ""Section 482 of CrPC""]","[""fact"", ""rule""]","[""Violates""]",2
"Hello everyone, 

Due to an ongoing property dispute between my Mother and my Aunty (case pending in civil court) my Aunty has filed a FALSE FIR that my parents and I have threatened to kill her. Now, the local thana has, without any investigation and clarification, filed an FIR against us in IPC 294, 506 and 34 for which we have taken a Bail from Court in Gwalior, MP.

I want to know how and at what stage I can file a Defamation case against my Aunt ? Can I file the same in a Delhi Court ?( Delhi, Delhi )","Dear Sir,You have to go to High Court to get such false FIR quashed. Alternatively, you must ask the Police to file B Report that is no case report in the above case and thereafter you have every right to file defamation case against your aunty.","[""User filed an FIR against the driver"", ""User seeks to claim damages from the driver\u2019s insurance company""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Both cases may be quashed if you go to High Court"", ""User is seeking to quash the chargesheet in the first case""]","[""fact"", ""fact""]","[""Complies With""]",2
"I was caught for drink and drive 3 years ago in gurgaon..i didnt go on court date till now..i dont have license from that time and it is showing blocked and seized..what should i do to get back my license.it is a very old matter( Gurgaon, Haryana )","Hi client,I think your driving license is with the court. Contact an advocate immediately and get back your license. This rule varies according to the state. You might get the license without any court proceedings from the Motor Vehicle Departments. Or apply for a new license.Thanks","[""Ask your lawyer to get it modified."", ""Name misspelled in bail order""]","[""fact"", ""fact""]","[""Complies With""]",2,"[""Ask your lawyer to get it modified."", ""Name misspelled in bail order""]","[""fact"", ""fact""]","[""Complies With""]",2
"My brother signed in a sub magistrate court as witness for his friend's friend of not been violating a law for 2 years who was prisoned for 6 months under goonda section. My brother is a student of age 21 . Will there be any problem or issues on his future?( Pudukkottai, Tamil Nadu )",no,"[""Case has not been listed for 3 years""]","[""fact""]",[],1,"[""No question, no crime""]","[""fact""]",[],1
"Wife and daughter are making wrong allegations on extra marital affairs and filing wrong police complaints for violence. Wife has also not allowing husband enter his own house and and not allowing meeting 12 year old son.  Husband wants to first issue a legal notice documenting all these points to legally remind her the provisions of the various acts and take action against her . After that this legal notice shall be used to file anticipatory bail. Husband also wants to put a defmation suit. Please advise  what should be done.( Mumbai suburban, Maharashtra )","Dear client,For instituting a complaint of defamation under section 499 of the IPC, the abusive words are required to be uttered against you in public. If the words have been uttered behind closed doors, it cannot be defamation. You can file suit for divorce","[""Failure of local authorities to take action against harassment""]","[""fact""]",[],1,"[""Section 499 of IPC"", ""Potential for defamation claim if the case is dismissed"", ""Need to file a complaint for defamation"", ""Threat of FIR for Defamation""]","[""rule"", ""fact"", ""fact"", ""fact""]","[""Complies With"", ""None"", ""None""]",4
I give my salary certificate as surety to my friend for ksfe kury. He not pay the amount. I remit the amount and close the kury. Can i file a criminal case against him??? what is the procedure. How my money given back??,Yes you can file.,"[""User is seeking to file a criminal case against the developer for cheating"", ""Failure of developer to develop residential plot as per agreement""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Accused can file application under relevant sections of IPC"", ""Section 340 of CrPC""]","[""fact"", ""rule""]","[""Complies With""]",2
my colleague had taken from me 1 lakhs of rupees on 12.2015.but still he did not return me the said amount.recently he give me a cheque on 03.05.18 which is also bounced from bank . can i file a case at consumer forum????,The first step is to issue Legal demand notice from your colleague .No you cant file at consumer forum.,"[""User was granted parole but did not return to prison"", ""User was arrested again under IPC 224""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""User received a notice from the Authority"", ""Theft of electricity is alleged""]","[""fact"", ""fact""]","[""Depends On""]",2
"My sister was harassed by one of her known friend. The boy use to stop her on roads, have broken her phone & was giving threats to her about her life and mine. 
we did fir in which sec 354, 427, 506 were applied. we have voice recording of this person in which he is continuously trying to harres ous. Further we have a written piece of paper on which the boy himself wrote that he will not do any thing in future, but he did tryed to contact my sister. 
I want this person to be in such a way that he is legally bound by law & can never contact ous.","Dear Client , your FIR should have been covered by stalking of girl, 354B, And if she is minor then pocso, file a complaint petition in District and Session Court, record her statement before court. Court will issue order to add Sections in FIR.","[""Abuse by the boy's father"", ""Cheating in a promised marriage""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Inability to add additional sections to FIR"", ""Need for re-recording statement under Section 164 of CrPC""]","[""fact"", ""fact""]","[""Depends On""]",2
"A person came to my cousin marriage in 2016 nov 6 with my friend after that he sent a req on Fb I saw it on 17 nov 2016 after That daily he chatted about normal things we met first time normally on 31st dec 2017 for new yr after that In April 2017 he chatted about love and marriage I said Iâm elder than you and our caste are different will your family agree he Said there is no pblm He asked in your home I said they donât agree then We run away and get marry I asked after some days if u leave me then he said if u donât trust then leave it then i said if we got fight then u leave like that i said i asked about earning he said listen Iâm a designer till July he talking about u like me u trust me or not in aug he called me he talked about this and strongly said yes I want to marry you then Iâm confirmed Iâm loving him after that we met outside on oct17 2020 he kissed on my hand and I kissed on her cheek and he tried to lip to lip kiss but i stopped after next day normally we are talking and he normally said I dint met you I said normally slap with footwear for he got angry and block me after that Iâm contacting through texts After that Iâm trying to talk about this he talks to me but dint give clarity He asks me to meet but i dint in 2018 aug he saw me and called to meet so I met to talk him so he said nothing becoz of ur calling Iâm ignoring thatâs it I asked about marriage my brother is there after that i will marry will u wait I said yes after he kissed me lip to lip and touched my body after in 2019 he calls asks for going anywhere I said I canât whenever he calls he asks to meet in 2020 from Jan he is not talking when I called him continuously he called and said donât text me I donât like why what is the Reason I asked he said I donât say he know Iâm waiting for him after 2 yrs he said so I started enquiring about him with his friends so they inform him and he called me and giving warning Iâll go to police station or ill come to home I said do whatever u want but I wonât leave you Iâm asking if u donât want to marry y did u said love and marriage and promised Now he is lining and refusing I have proofs of fb chat what he talked to me no what should I do becoz I want to marry him if I do police complaint what will happen so Iâm stepping if I get clarity after giving complaint i get justice of get marry him means Iâll proceed please sugesst me what to do( Hyderabad, Telangana )","I have gone through your query in detail.1)	Any kind of Police Complaint CANNOT guarantee you of Marriage. Also you have not mentioned from which state, City, Village etc. you both are.2)	What kind of job is he doing?? what he will give you to eat after doing a marriage think in long terms..3)	Are you having your independent source of income as â¦.what if it does not support you after marriage... Don't jump for the conclusion of marriage just because he was good when he was calling you or just for his sake of promise...4)	Remember after marriage he can also go ahead for divorceâ¦. so think in long terms...5)	Then too if you feel this is the right person to marry then there are ways out ahead..& the said marriage can be performed.If you realize my professional skills, the time & efforts put in by me needs to be truly appreciated, and then Please âCLICK MY LIKES/ THUMBS UP/GIFTâ button shown below this reply format & also CLICK/ WRITE a âREVIEWâ in 5 star as I have answered your query in detail. Hope this information is usefulADV. ANISH PALKAR (High Court)","[""User threatened boyfriend regarding reputation if he does not marry"", ""Section 375 of IPC""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Both cases may be quashed if you go to High Court"", ""User is seeking to quash the chargesheet in the first case""]","[""fact"", ""fact""]","[""Complies With""]",2
"I was charged u/s 406/407/408/409/420/467/468/471/120B and sacked from my service. After 11 years I am aquitted from the court for  no evidence.  After dismissal from service I had filed case in Labour Court, but the judgement passed against me. I have challanged the judgment in High Court. Under many SC judgment, it was passed that after aquital in criminal case internal investigation was dropped. Can I file a case in the Lower Court for reinstatement ?( Purba Singhbhum, Jharkhand )",Dear client you can approach to hon'ble high court with expert lawyer for challenge that judgement.,"[""Challenge of lower court judgment in High Court"", ""Ongoing trial in High Court regarding property papers""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Witness can approach prosecution to file recall application on their behalf"", ""Section 311 of CrPC""]","[""fact"", ""rule""]","[""Complies With""]",2
"I have filed a petition under 482 of CrPC to quash or set aside the charges against me on 30.01.2018.
The high court admit my petition and directed to the CBI to file counter affidavit with in four weeks. But CBI has not file counter affidavit and it is still pending . That after 30.01.18 the cas has been listed once in 17.05.18 but not heard by hobble court. After that two listing application has been filed and case listed on 31.07.18 and 24.08.18 but it is neither admitted not heard by court.
Being a innocent I am very depressed because advance bail may not taken in u.p.. kindly advice me what can I do in such circumstances sothat I can obtain justice. And what ground should be raised in listing application. I'll very thankful to you.( Lucknow, Uttar Pradesh )",You can insist stay till the disposal of the case.,"[""Case has not been listed for 3 years""]","[""fact""]",[],1,"[""Uncontested disposal of court case"", ""Section 12 of the Protection of Women from Domestic Violence Act, 2005""]","[""fact"", ""rule""]","[""Violates""]",2
"om
 Hello sir. 
Some peoples atack on me 5 feb 2017. I had head injury and docters take opration . But today am disiable . Do not walk . And p.g.i give me disable certificate .  But police can not throw case in court . Chalan ni pesh hoeya hun tak. Naa police ne ipc 307 lagayi .. te naa ipc 34 ... Today am on bed full day ... But no body help me .. my fir numbr is 0027 f.i.r date - 5 feb 2017 . Police station - kurali district - mohali state - punjab 
Please advice me .. help me","You can take advice & help from legal welfare forum in your district to guide, help & provide required assistance. Or Bar council in your district .","[""Undated case in court"", ""Need for expeditious proceeding application""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""User is seeking to work with a legal NGO to provide free legal help to the poor"", ""Legal Services Authority Act, 1987""]","[""fact"", ""rule""]","[""Complies With""]",2
"The mob of around 100 Scheduled caste persons buried a dead body which belongs to my own agriculture land,I have all the documents which are belongs to the land.
I filed a FIR against the persons involved,later one of the accused person who is in FIR filed SC atrocity case against my entire family.
Could you please Help me on this ,what we can do in this case according to law.( Nalgonda, Telangana )",You can file case,"[""User belongs to a scheduled caste category""]","[""fact""]",[],1,"[""Accused can file application under relevant sections of IPC"", ""Section 340 of CrPC""]","[""fact"", ""rule""]","[""Complies With""]",2
"What is the validity of Anticipatory Bail? Valid till chargesheet been filed ?( South Andaman, Andaman and Nicobar )",It's valid till your presences in courtAsk vidhikarya,"[""Rejection of Anticipatory Bail in Rape and Abortion IPC"", ""Section 438 of CrPC""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Ask your lawyer to get it modified."", ""Name misspelled in bail order""]","[""fact"", ""fact""]","[""Complies With""]",2
"Fraud Case/FIR was lodged in 376, 315 and 420, NBW was issued, accused is in HC for Anticipatory bail, complainant did medical and gave statements.

Now, Complainant ready to take down the case as its already 4-5 months and all are fed up.

Please advise what is the fastest/easiest legal way to finish this. This should be done from Police station or Court or both ?
Does the complainant needs to give the affidavit in court and police station or both?
For expunge, what will be the process ?( Hyderabad, Telangana )",If both the parties ready to settlement then withdraw the case,"[""NBW issued in IPC 376, 315 and 420"", ""Section 438 of CrPC""]","[""fact"", ""rule""]","[""Complies With""]",2,"[""1st party is ready to settle the case"", ""Criminal case is at the cognizance stage""]","[""fact"", ""fact""]","[""Depends On""]",2
"My friend wife filed a flase case about attempted to murder a women against him and also all his family members.How to deal with this case i want to close this case please give some suggestions what to do as we don't have any proof against his wife as she is very clever than us.( Howrah, West Bengal )",You need to proceed with the case and prove that such case is false by way of evidence.Also if such case is lodged by way of an FIR then you also have an option to Quash such FIR in the High Court.As you do not have evidence to prove anything it will become difficult to do so. However if you have the evidence either go for quashing or else fight it out and prove yourself innocent. Hire a good lawyer and take his advise on the same.,"[""Parents facing harassment from brother and his wife"", ""Section 3 of the Maintenance and Welfare of Parents & Sr. Citizens Act, 2007""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Need for evidence to prove innocence"", ""False allegations made against the user""]","[""fact"", ""fact""]","[""Depends On""]",2
"I caught in a Drunk & drive case . Police has given me a memo mentioning date to present in court. Is it possible to present in a court on a date other than that either earlier or later? Is it possible that any lawyer will represent in court on my behalf ? What is the minimum fine that have to pay in pune for that( Pune, Maharashtra )",Dear client no need to worry about it.if that was your first offense then judge impose fine on you,"[""User does not know any lawyer in that city"", ""Section 438 of CrPC""]","[""fact"", ""rule""]","[""Complies With""]",2,"[""First offense of driving under the influence of alcohol"", ""Potential for imprisonment or fine for first-time offenders""]","[""fact"", ""fact""]","[""Depends On""]",2
"My name is karthik. I was married on 2016.after marriage i have affair with another girl (SC cast)who worked as my co staff. We had sexual intercourse many times.she knows that am already married.  She forced me to marry her but i refused. The girls parents arranged marriage for both by threatening me. Since that i was absconded The girl was filed case against me & my parents under mentioned sec.420,417,506(2),496 on feb 19th 2018.After that till now am in abscond. My parents was arrested with the same sec and remanded by police.my parents are aged 55&60.I approach advocate to get bail for us. He took bail for my parents with some condition.after condition bail he put relaxation petitions then they relived from condition bail. My advocate tried bail for me two times directly in high Court. But my bail application was rejected by high Court bcs the girl put some petition that me n the girl had sexual intercourse before the marriage. Till now am in abscond. Now police was came to my wife's house for searching me without any warrant.they threaten me to give 50lakhs for settlement.police said they will go to my brother home n took my brother to station for getting me surrender. I need suggestion. They have rights to arrest my brother for getting surrender me. Can i surrrender myself or continues abscond.is there any problem for absconding.help to sort out this issue.( Chennai, Tamil Nadu )","I wonder why your first wife has not made a complaint against you. In fact, making a complaint would be safe for her. And please do surrender. Later, you can get bail. AB is near impossible.","[""Quashing petition rejected by high court"", ""Chargesheet yet to be filed""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Anticipatory Bail (AB) issue"", ""Need to file petition before Supreme Court""]","[""fact"", ""fact""]","[""Depends On""]",2
"I am suffering from bipolar disorder with an outbreak of psychosis in which a person has delusions and hallucinations. In May 2020 during my psychosis breakdown, I sent sexually explicit messages to one of my seniors ( a lady officer).

I was under the delusion that she along with the departmental head is plotting against my life. Now the department on her complaint is implicating me under the provisions of the POSH Act, 2013.

I have sought defense that I am having a bipolar disorder with an outbreak of psychosis and produced discharge and follow-up certificates and documents of PGI, Chandigarh, but the administration is not accepting my plea.

The administration is not accepting my plea of mental illness and it turned down my plea. The administration is of the opinion that when I can use the internet and laptop then my plea of psychosis is not admissible.( Chandigarh, Chandigarh )","See if you take plea of bipolar disorder your employment will be at stake so get the disorder be corrected, where do you work","[""Suffering from bipolar disorder with psychosis"", ""Sent sexually explicit messages during psychosis""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Suffering from bipolar disorder with psychosis"", ""Sent sexually explicit messages during psychosis""]","[""fact"", ""fact""]","[""Depends On""]",2
"Sir,
I have been honey trapped for last 1 year. when I got to know then I asked the money which I have given her and her friend then girl threten me for blackmailing and making rape charges against me. I don't know what to do?( Gurgaon, Haryana )","Dear Client,First of all you will have to make an application to the local police station highlighting the fact of the honey trap alongwith the evidence (digital or non digital) if any. Please do not forget to get a received copy with the sign and seal of the respective police station.Along with this you have to file a cybercrime complaint in cyber cell along with proper evidence and complaining about blackmailing.","[""Charges have been framed in the FIR"", ""Section 205 of CrPC""]","[""fact"", ""rule""]","[""Depends On""]",2,"[""Victim of honey trap blackmailing"", ""Impact on reputation and personal life due to blackmailing""]","[""fact"", ""fact""]","[""Depends On""]",2
"I have been summoned by CBI Court CMM Rouse Avenue, New Delhi as Accused in a case referred above. Court has asked me to appear in person or through Lawyer. I have no idea about the procedures.  Kindly advise me the possible way to go about it. Investigation was carried betn 2010 to 2012.( Ahmedabad, Gujarat )",Go to a lawyer with the summons copy provided to you.,"[""User has been summoned by CMM Court as accused in duty evade case"", ""User is employee of MNC firm as purchase engineer""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Both cases may be quashed if you go to High Court"", ""User is seeking to quash the chargesheet in the first case""]","[""fact"", ""fact""]","[""Complies With""]",2
"4 persons  armed with sword entered a house and assaulted X living there . They compelled Y another inmate of the house on pain of death to catch hold of the hands of X so that he couldn't struggle and then beheaded X , Y was sent up with the other four persons for protection under section 302 with the aid of section 34 of IPC . Can Y be held guilty and convicted of that offence or of any other minor offence?( Bangalore, Karnataka )",Y under the fear of instant death or grievous injury has done such act as such he will be acquitted. He has no mens rea in his mind to commit any offense. Let your experienced advocate get him discharged.,"[""Section 34 of IPC"", ""User is facing criminal charges under IPC Sections 498A, 302, and 34""]","[""rule"", ""fact""]","[""Violates""]",2,"[""Criminal case will be closed as abated"", ""Accused person is deceased""]","[""fact"", ""fact""]","[""Depends On""]",2
"my husband submitted false evidences in family court to get order in his favor and same has happened. now my present advocate said to file application under section 340 but Chief jmfc refused to take application and family court said the case is over so he can not do anything. so what to do?( Navsari, Gujarat )","Dear client,we would advise you to file an appeal and in addition prosecute your husband under section 193 of IPC for giving/fabricating false evidence","[""Accused can file application under relevant sections of IPC"", ""Section 340 of CrPC"", ""Use of false documents in family civil case""]","[""fact"", ""rule"", ""fact""]","[""Complies With"", ""Violates""]",3,"[""Section 193 of IPC"", ""False complaint filed against the user""]","[""rule"", ""fact""]","[""Violates""]",2
"Can I file a case Zero FIR or online now against to my father and his third wife on attempt murder which was happened in Jan 2020 in Andhra Pradesh. Please suggest. Currently I am in Bangalore.( Bangalore, Karnataka )","Zero FIR is very helpful for immediate reporting of offences. In your case, it needs to be seen, where you were positioned at the time of the offence. In case, you were at Andhra for quite sometime, post the offence, then police at Karnataka may refuse to register your complaint, as there is delay on your part. However, you may try filing a zero fir at the Bangalore police station nearer to your residence.At best, you may now address an email to the jurisdictional Superintendent of Police at Andhra, i.e. near your house at Andhra, so that a record of the offence remains. Later, follow it up for action post covid lockdown relaxation.","[""User is accused in an attempt murder case"", ""False accusation against A2 regarding involvement in the crime""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Both individuals were minors at the time of the incident"", ""Kissing does not constitute sexual intercourse under the law""]","[""fact"", ""fact""]","[""Depends On""]",2
"Where can I lodge the complaint against corrupted govt employees as per the IPC sections.( Warangal, Telangana )",Dear ClientYou can contact your nearest Anti-Corruption official in person or through telephone or even email. More information can be obtained even on phone through the Toll Free numbers: 180023344444 or 1064. The complaint can be filed with the Deputy Superintendent of Police or Inspector of Police.Hope it helps.,"[""Lodge a complaint against them"", ""Abusive language by neighbor""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Audio recording can be presented as evidence in court."", ""Court determines relevance of evidence.""]","[""fact"", ""fact""]","[""Depends On""]",2
"The accused is charged u/s 366 IPC and pleaded not guilty of the charges and the summons were served upon PWs. the victim in her statement u/s164 stated that she had love and affairs with accused person and they solemnised their marriage and she lived with accused for one month thereafter she appeared before the I.O of the case she was taken to hospital but she refused her medical examination. When the victim girl appeared before the court she in her examination in chief stated that accused forcibly took her and taken her to a unknown place and she stayed there for one phone. Prosecution exhibited her original birth certificate which reveals her age was 17 years at the time of occurrence. The statement of victim u/s 164 was also exhibited. 
The informant in her examination in chief stated that she didn't see any occurrence and other witnesses were also gave hearsay evidence and there is absence of Corroborative evidence supporting the version of victim. But it is a fact that  victim was a minor at the time of occurrence, the defense in cross examination only gave suggestion that at the time of occurrence she was above 18 years, but her evidence is marked by flaws and gaps in such a situation whether it is proved that the victim was minor at the time of occurrence or prosecution succeed in proving the essential condition of section 366 IPC. and whether the prosecution will suceeds in securing a conviction of accused. please help with suggestion in preparing the argument of this case with landmark judgement in the light of the present case.( Cachar, Assam )","Dear Client,The essential condition for the application of Section 366 I.P.C. is that there is kidnapping or abduction of a woman with the intention to compel her or knowing it to be likely that she will be compelled to marry any person against her will or will be forced or seduced to illicit intercourse. Section 366 I.P.C. only applies when the woman abducted has no intention of marriage or lawful intercourse when abducted. Mere abduction does not bring the accused under the ambit of this penal section. In Shahjahan Vs. State, 2011 Cr.L.J. 573, the Supreme Court has held that to establish an offence u/s 366 I.P.C., it must first be established that the offence of kidnapping under Section 361 I.P.C. or abduction under Section 362 I.P.C. has been proved. It must then be shown that such kidnapping or abduction was with the contumacious intent referred to under Section 366 I.P.C. Further, in the case of  Gabbu Vs. The state of M.P., AIR 2006 SC 2461, the Apex Court has held that so far as the charge u/s 366 I.P.C. is concerned, mere finding that a woman was abducted is not enough. It must further be proved that the abduction is for the purposes mentioned in Section 366 I.P.C. Given the provision of relevant law and averments of the Apex Court, you can defend your case to before the Court.","[""Minor at the time of father's death"", ""Section 156 of CrPC""]","[""fact"", ""rule""]","[""Complies With""]",2,"[""apply to the Supreme Court"", ""User father is in custody""]","[""fact"", ""fact""]","[""Complies With""]",2
"So my lawyer had filed the case on 27th Jan and we received another date on 2 feb as hearing.  The lawyer said there is no need for me to be present there. And when I checked the ecourt I saw that the case status is Notice_Unready and next date is 4 March 2021. I just want to understand what does Notice Unready means in Domestic Violence case ?( Thane, Maharashtra )","Hi,This means that notice has not been given to the other party, as of that moment.If you found this helpful, please rate us.","[""Ongoing Domestic Violence case filed"", ""Claim for recovery of Stridhan gifts""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Evidence of reckless driving by the other party"", ""Section 154 of CrPC""]","[""fact"", ""rule""]","[""Complies With""]",2
"My wife has filed 498a but till now I have not received summon court is giving further order...what does it mean...kindly guide( Etawah, Uttar Pradesh )","Dear Client,It appears that the police have yet to file their final report or chargesheet in the complaint/FIR lodged by your wife under Section 498a of the Indian Penal Code and the Court has extended the next date for further order for issue of summons to the accused. You may access the order in detail from the daily cause list or the order sheet of the Court file. If required, hire an Advocate to access the right information in the matter.","[""User has not received notice from court"", ""Section 125 of CrPC""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Section 20 of the Indian Penal Code""]","[""rule""]",[],1
"Owner of a product base company is booked under Prize chit and money circulation banning act 1978, 3, 4, 5 and 120b, 34, 420 in two different states and multiple FIRs have been registered....... police considering it as a chit fund company involved in money circulation.....my question is, on what ground owner and company will get clean chit and how long it will take to solve this matter ?.....or is there no hope remain for positive result?..... please answer( Hyderabad, Telangana )","Of late, we have been getting a lot of similar queries related to one Haryana based co. by the name of FMCL whose owner and distributor were apprehended by Telangana police.It depends on how many FIRs have been filed in different states.Getting bail in each one of them is mandatory.You can contact us to know everything in detail. Regards, Law Chambers of Arpit Batra.","[""False case filed by Lenaxis Chit Fund Company"", ""Section 138 of Negotiable Instruments Act""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Charges have been framed in the FIR"", ""Section 205 of CrPC""]","[""fact"", ""rule""]","[""Depends On""]",2
